Caldera,Site_Name,Soil_Type,Date_of_Measurement,CH4_Flux,log10FCH4,d13CH4_source,CO2_Flux,log10FCO2,d13CO2_source
YC,East Entrance Road,Acid-Sulphate,6/24/2018,2.029002912,0.30728267,-32.87248666,5066.95313,3.704746887,-6.34600179
YC,East Entrance Road,Acid-Sulphate,6/24/2018,0.702173933,-0.153555297,-39.19052766,3388.20046,3.529969097,-6.052505883
YC,East Entrance Road,Acid-Sulphate,6/24/2018,-0.030295104,,-45.73642545,4511.238533,3.654295791,-7.11046155
YC,East Entrance Road,Acid-Sulphate,6/24/2018,0.007364605,-2.132850557,-45.90522973,3230.959662,3.509331536,-7.437257246
YC,East Entrance Road,Acid-Sulphate,6/24/2018,1.18946372,0.0753512,-40.88904982,2329.946548,3.367345958,-5.65514653
YC,Mud Volcano,Acid-Sulphate,6/25/2018,0.575319012,-0.240091274,-42.883863,7970.033971,3.901460172,-4.432618114
YC,Mud Volcano,Acid-Sulphate,6/25/2018,-0.022255484,,-47.64875302,1826.239357,3.261557698,-4.535635685
YC,Mud Volcano,Acid-Sulphate,6/25/2018,0.688672533,-0.161987238,-41.91662779,9997.233806,3.999879849,-4.405122897
YC,Mud Volcano,Acid-Sulphate,6/25/2018,-0.117098165,,-45.59018532,3310.871532,3.51994233,-4.091090919
YC,Mud Volcano,Acid-Sulphate,6/25/2018,-0.014688311,,-46.9468524,8244.60425,3.916169814,-5.359354984
YC,Mud Volcano,Acid-Sulphate,6/25/2018,-0.058472417,,-46.83643904,2781.692881,3.444309179,-3.35585246
YC,Northeast Entrance Road,Unclassified,6/26/2018,-0.062757833,,-44.94709597,1356.760158,3.132503082,-21.60649854
YC,Northeast Entrance Road,Unclassified,6/26/2018,-0.04395601,,-45.1684787,289.1085886,2.461060994,-12.086378
YC,Northeast Entrance Road,Unclassified,6/26/2018,-0.024156116,,-47.27760574,244.1903954,2.387728578,-10.10455751
YC,Northeast Entrance Road,Unclassified,6/26/2018,-0.100054808,,-45.84975883,691.7577788,2.839954051,-18.49154841
YC,Northeast Entrance Road,Unclassified,6/26/2018,-0.035150677,,-47.73581404,567.9826729,2.754335087,-21.9691337
YC,Northeast Entrance Road,Unclassified,6/26/2018,-0.027849786,,-47.27346008,27.48635129,1.439117093,-8.445618416
YC,Northeast Entrance Road,Unclassified,6/26/2018,-0.052998159,,-46.22730852,814.5795356,2.910933495,-19.98604532
YC,Northeast Entrance Road,Unclassified,6/26/2018,-0.033854662,,-47.67782245,973.7916536,2.988466048,-23.36858119
YC,Clepsydra Geyser,Neutral-Chloride,6/27/2019,-0.042805585,,-45.56676663,193.2463181,2.286111228,-7.624521339
YC,Clepsydra Geyser,Neutral-Chloride,6/27/2019,-0.042364352,,-48.08219596,77.01293447,1.886563672,-7.079929918
YC,Clepsydra Geyser,Neutral-Chloride,6/27/2019,-0.042985688,,-47.38899981,38.45011528,1.584897646,-9.021413859
YC,Clepsydra Geyser,Neutral-Chloride,6/27/2019,-0.077795084,,-46.72389353,396.6758142,2.598435722,-7.78168775
YC,Clepsydra Geyser,Neutral-Chloride,6/27/2019,-0.065065764,,-45.27762543,384.1949424,2.584551643,-7.746016753
YC,Clepsydra Geyser,Neutral-Chloride,6/27/2019,-0.071866929,,-46.79352909,259.6402667,2.414372047,-7.69490437
YC,Gas Vents,Acid-Sulphate,6/28/2018,3.798391132,0.579599683,-35.7904236,16170.91844,4.208734687,-4.822594822
YC,Gas Vents,Acid-Sulphate,6/28/2018,0.627285746,-0.202534581,-30.99309299,1900.742685,3.278923328,-3.462382712
YC,Gas Vents,Acid-Sulphate,6/28/2018,-0.090439057,,-45.73980578,653.697178,2.81537661,-8.366095506
YC,Gas Vents,Acid-Sulphate,6/28/2018,9.761363963,0.989510506,-33.60556952,16997.61336,4.230387946,-5.047596721
YC,Gas Vents,Acid-Sulphate,6/28/2018,3.747435817,0.573734203,-32.54405918,20544.83723,4.312702705,-3.633600058
YC,Gas Vents,Acid-Sulphate,6/28/2018,7.646375154,0.883455602,-30.83352797,10983.89537,4.040756387,-4.155471627
YC,Gas Vents,Acid-Sulphate,6/28/2018,8.964581409,0.952530015,-32.9452329,14713.37779,4.167712386,-4.618295179
YC,Great Fountain,Neutral-Chloride,6/29/2018,-0.023671059,,-47.820608,205.8703359,2.313593773,-12.14638299
YC,Great Fountain,Neutral-Chloride,6/29/2018,-0.002032576,,-47.43234206,162.5520263,2.210992388,-12.33014594
YC,Great Fountain,Neutral-Chloride,6/29/2018,0.01151535,-1.938722853,-47.6240618,57.25133791,1.75778564,-10.61711018
YC,West Thumb,Neutral-Chloride,7/1/2019,-0.021083,,-46.41858532,125.2407046,2.097745502,-12.72022113
YC,West Thumb,Neutral-Chloride,7/1/2019,-0.047528052,,-45.48353846,325.1622928,2.512100177,-11.94795389
YC,West Thumb,Neutral-Chloride,7/1/2019,-0.030209017,,-45.6931907,100.5570884,2.00241269,-8.311150034
YC,West Thumb,Neutral-Chloride,7/1/2019,-0.022576254,,-48.09836246,29.64549208,1.471958664,-9.054237427
YC,West Thumb,Neutral-Chloride,7/1/2019,-0.026838252,,-46.19494657,103.9678791,2.016899185,-9.987076563
YC,Grand Geyser,Neutral-Chloride,7/2/2018,-0.038285532,,-49.36380336,85.82436075,1.933610577,-9.11882368
YC,Grand Geyser,Neutral-Chloride,7/2/2018,-0.034090953,,-48.99853267,59.63125633,1.775473959,-8.93483662
YC,Grand Geyser,Neutral-Chloride,7/2/2018,-0.002581257,,-47.71749378,49.76533216,1.696926907,-8.909936875
YC,Castle Geyser,Neutral-Chloride,7/2/2018,-0.030241392,,-49.75300203,24.32027253,1.385968437,-8.969600922
YC,Castle Geyser,Neutral-Chloride,7/2/2018,-0.025521453,,-49,26.34394377,1.420680791,-8.087
YC,Mammoth Hot Springs,Travertine,7/3/2018,-0.010522543,,-46.47118567,146.8710176,2.166936104,-8.329217188
YC,Mammoth Hot Springs,Travertine,7/3/2018,-0.039217562,,-46.4712349,179.7882296,2.254761256,-8.403609512
YC,West Thumb,Neutral-Chloride,7/3/2018,3.056116765,0.485169943,-28.67332825,727.4970029,2.861831208,-5.666372537
YC,West Thumb,Neutral-Chloride,7/3/2018,-0.017849275,,-47.61739208,46.72196471,1.669521097,-8.313112817
YC,West Thumb,Neutral-Chloride,7/3/2018,-0.014165588,,-45.13540867,418.2927707,2.621480359,-9.738960602
YC,Yellowstone Lake,Acid-Sulphate,7/4/2018,0.13140767,-0.881379284,-44.74945274,396.8142801,2.598587293,-10.62380577
YC,Yellowstone Lake,Acid-Sulphate,7/4/2018,0.912680222,-0.039681361,-42.31829123,1384.959593,3.141437103,-7.686695944
YC,Yellowstone Lake,Acid-Sulphate,7/4/2018,0.214870384,-0.667823439,-41.96487876,1585.670245,3.200212877,-5.684154838
YC,Yellowstone Lake,Acid-Sulphate,7/4/2018,-0.032881512,,-46.20104128,105.4670211,2.02311668,-8.929186147
YC,Yellowstone Lake,Acid-Sulphate,7/4/2018,-0.048962943,,-44.76393081,4440.744423,3.647455779,-4.582395791
YC,Yellowstone Lake,Acid-Sulphate,7/4/2018,2.039051899,0.30942828,-39.14392636,4959.968517,3.69547892,-4.763782459
YC,Daisy Geyser,Neutral-Chloride,7/5/2019,-0.056676733,,-48.1933562,262.6191246,2.419326349,-6.758681743
YC,Daisy Geyser,Neutral-Chloride,7/5/2019,-0.055729736,,-47.34662616,158.4790086,2.199971746,-8.17701327
YC,Daisy Geyser,Neutral-Chloride,7/5/2019,-0.052753063,,-48.16947833,111.2944082,2.046473344,-6.718986152
YC,Daisy Geyser,Neutral-Chloride,7/5/2019,-0.054760593,,-47.48590273,10.5752695,1.024291444,-7.365713008
YC,Daisy Geyser,Neutral-Chloride,7/5/2019,-0.033091602,,-46.82426785,107.9931883,2.033396363,-8.142272234
YC,Daisy Geyser,Neutral-Chloride,7/6/2018,-0.018290951,,-48.18064983,30.38930569,1.482720778,-7.692041126
YC,Daisy Geyser,Neutral-Chloride,7/6/2018,-0.015601686,,-47.5566302,7.044435597,0.847846203,-8.357005419
YC,Daisy Geyser,Neutral-Chloride,7/6/2018,-0.036183383,,-46.49315758,3.09698464,0.490939051,-8.064707871
YC,Daisy Geyser,Neutral-Chloride,7/6/2018,-0.034583166,,-47.30843765,40.94217027,1.61217086,-8.321594039
YC,Daisy Geyser,Neutral-Chloride,7/6/2018,-0.027237889,,-46.87500497,29.58680785,1.471098111,-8.292240828
YC,Daisy Geyser,Neutral-Chloride,7/6/2018,-0.028667049,,-47.96815539,71.81961198,1.856243054,-7.541763904
YC,Daisy Geyser,Neutral-Chloride,7/6/2018,-0.026922031,,-47.58800305,49.13147666,1.691359817,-8.094820777
YC,Daisy Geyser,Neutral-Chloride,7/6/2018,-0.032523747,,-45.99889487,12.36196091,1.092087366,-8.04757133
YC,Daisy Geyser,Neutral-Chloride,7/6/2018,-0.012993276,,-46.98950868,-0.791357319,,-8.322013401
YC,Daisy Geyser,Neutral-Chloride,7/6/2018,-0.023199993,,-46.63503348,25.14990924,1.400536422,-8.229780811
YC,Gas Vents,Acid-Sulphate,6/6/2019,-0.04276088,,-47.97685874,-35.47350292,,-10.32817466
YC,Gas Vents,Acid-Sulphate,6/6/2019,0.404748598,-0.392814647,-38.79630312,3219.382654,3.5077726,-5.121226293
YC,Gas Vents,Acid-Sulphate,6/6/2019,1.868839592,0.271572026,-37.69016519,3551.731705,3.550440152,-6.77239015
YC,Gas Vents,Acid-Sulphate,6/6/2019,9.083607467,0.958258359,-35.01874003,15156.8639,4.180609351,-10.82236956
YC,Gas Vents,Acid-Sulphate,6/6/2019,3.988071534,0.60076294,-36.23027865,5591.442153,3.747523836,-13.54416012
YC,Gas Vents,Acid-Sulphate,6/6/2019,-0.000308463,,-45.89999786,563.4191337,2.750831592,-7.574986948
YC,Gas Vents,Acid-Sulphate,6/6/2019,0.045677756,-1.340295241,-47.9330952,276.2851104,2.44135748,-13.5213997
YC,West Thumb,Neutral-Chloride,6/7/2019,0.016147309,-1.791899838,-46.81118967,-33.21243306,,-8.620436061
YC,West Thumb,Neutral-Chloride,6/7/2019,0.037688655,-1.423789365,-48.32384107,40.71302767,1.6097334,-7.332682537
YC,West Thumb,Neutral-Chloride,6/7/2019,0.017025826,-1.768891804,-45.12912432,25.3674308,1.404276484,-9.563305187
YC,Mud Volcano,Acid-Sulphate,6/9/2019,0.30964051,-0.509142226,-43.75006759,4119.670228,3.614862453,-5.733172336
YC,Mud Volcano,Acid-Sulphate,6/9/2019,0.046455545,-1.33296244,-46.99695163,939.2331863,2.972773429,-6.396895772
YC,Mud Volcano,Acid-Sulphate,6/9/2019,-0.004699247,,-46.17064341,7155.19283,3.854621342,-4.705906418
YC,Mud Volcano,Acid-Sulphate,6/9/2019,0.00102872,-2.987702708,-46.38403135,64.31791124,1.808331932,-10.84000657
YC,Norris Geyser Basin,Neutral-Chloride,6/11/2019,-0.004655728,,-47.11662298,50.40831478,1.702502179,-11.51248261
YC,Norris Geyser Basin,Neutral-Chloride,6/11/2019,-0.08596696,,-45.78720642,-223.1979624,,-10.85845689
YC,Norris Geyser Basin,Neutral-Chloride,6/11/2019,0.00635975,-2.196559989,-48.13217978,304.2678809,2.48325611,-11.1172902
